original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,name,housenumber,street,suburb,postcode,county_code,district,state_code,city,county,state,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
2110,Athens,United States,33.9597677,-83.376398,"Athens, GA, United States of America",,,,,,,,GA,Athens,Athens-Clarke County,Georgia,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2111,Selinsgrove,United States,40.8062437,-76.8607084,"Selinsgrove, PA, United States of America",,,,,,,,PA,Selinsgrove,Snyder County,Pennsylvania,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2112,Thana,India,20.842843,79.738586,"Thana - 441908, MH, India",,,,,441908,,,MH,Thana,Pauni Taluka,Maharashtra,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2113,Elmhurst,United States,41.8994745,-87.9403418,"Elmhurst, IL 60126, United States of America",Elmhurst,,,,60126,,,IL,Elmhurst,DuPage County,Illinois,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2114,Williamsburg,United States,37.2708788,-76.7074042,"Williamsburg, VA, United States of America",,,,,,,,VA,Williamsburg,,Virginia,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2115,Cherry Hill,United States,39.9348351,-75.0307264,"Cherry Hill, NJ, United States of America",,,,,,,,NJ,Cherry Hill,Camden County,New Jersey,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2116,Kelantan,Malaysia,1.7290649,103.8875341,"Kota Tinggi, Kampung Kelantan, Johor, Malaysia",Kampung Kelantan,,,,,,Kota Tinggi,,Kampung Kelantan,,Johor,Malaysia,my,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2117,Hualien,Taiwan,23.982074,121.60681,"Hualien City 970, Taiwan",,,,,970,,,,Hualien City,Hualien County,,Taiwan,tw,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2118,Indralaya,Indonesia,-3.2428484500000003,104.69865265203333,"Indralaya, South Sumatra, Indonesia",,,,,,,,,Indralaya,Muara Enim,South Sumatra,Indonesia,id,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2119,Marbella,Spain,36.508976,-4.88562,"Marbella, Andalusia, Spain",,,,,,,,,Marbella,Costa del Sol Occidental,Andalusia,Spain,es,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2120,Satun,Thailand,6.6151578,100.0664441,"Satun, Satun Province, Thailand",Satun,,,,,,,,Satun,,Satun Province,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2121,Togane,Japan,35.5600309,140.3662589,"Toogane, Japan",,,,,,,,,Toogane,Chiba Prefecture,,Japan,jp,0.7714285714285714,0.7714285714285714,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2122,Matamoros,Mexico,25.8810158,-97.5064866,"87300 Matamoros, TAM, Mexico",Matamoros,,,,87300,,,TAM,Matamoros,Matamoros,Tamaulipas,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2123,Dordrecht,Netherlands,51.814429,4.6692438,"Dordrecht, ZH, Netherlands",,,,,,,,ZH,Dordrecht,,South Holland,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2124,Karnataka,India,14.5203896,75.7223521,"Karnataka, India",,,,,,,,KA,,,Karnataka,India,in,0.5,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2125,Marcy-l'Etoile,France,45.7816572,4.7071338,"69280 Marcy-l'Étoile, France",,,,,69280,,,ARA,Marcy-l'Étoile,Métropole de Lyon,Auvergne-Rhône-Alpes,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2126,Shaoyang,China,26.993991,111.2684212,"Shaoyang, Hunan, China",Shaoyang,,,,,,,,Shaoyang,Shaoyang County,Hunan,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2127,Barueri,Brazil,-23.5112184,-46.8764612,"Barueri, SP, Brazil",,,,,,,,SP,Barueri,Região Metropolitana de São Paulo,São Paulo,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2128,Huizen,Netherlands,52.2958122,5.2567209,"Huizen, NH, Netherlands",,,,,,,,NH,Huizen,,North Holland,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2129,Karabuk,Turkey,41.1955402,32.6231154,"78200 Karabük, Turkey",Karabük,,,,78200,,,,Karabük,Karabük Merkez,Black Sea Region,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2130,Nankoku,Japan,33.5755463,133.6413009,"Nankoku, Japan",,,,,,,,,Nankoku,Kochi Prefecture,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2131,Sisaket,Thailand,15.1144087,104.328868,"Si Sa Ket, Si Sa Ket Province, Thailand",Si Sa Ket,,,,,,,,Si Sa Ket,,Si Sa Ket Province,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2132,Thanjavur,India,10.7860267,79.1381497,"Thanjavur - 613001, TN, India",Thanjavur,,,,613001,,,TN,Thanjavur,Thanjavur,Tamil Nadu,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2133,Namakkal,India,11.2191692,78.16787,"Namakkal - 637001, TN, India",Namakkal,,,,637001,,,TN,Namakkal,Namakkal,Tamil Nadu,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2134,Braine-l'Alleud,Belgium,50.6828722,4.3692706,"Braine-l'Alleud, Walloon Brabant, Belgium",,,,,,,,,Braine-l'Alleud,Nivelles,Walloon Brabant,Belgium,be,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2135,Unterschleissheim,Germany,48.2730686,11.5702716,"85716 Unterschleißheim, Germany",,,,,85716,,,,Unterschleißheim,Landkreis München,Bavaria,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2136,Changwon,South Korea,35.227956,128.6818586,"Changwon-si, South Korea",,,,,,,,,Changwon-si,South Gyeongsang,,South Korea,kr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2137,Ho Chi Minh Chi City,Viet Nam,10.7763897,106.7011391,"Ho Chi Minh City, Vietnam",,,,,,,,,Ho Chi Minh City,,,Vietnam,vn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2138,Solapur,India,17.6699734,75.9008118,"Solapur - 413001, MH, India",Solapur,,,,413001,,,MH,Solapur,Solapur North,Maharashtra,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2139,Libourne,France,44.9133742,-0.2427217,"33500 Libourne, France",,,,,33500,,,NAQ,Libourne,Gironde,Nouvelle-Aquitaine,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2140,San Luis Potos,Mexico,22.922615,-109.942075,"Avenida Sierra de San Luis, Cabo San Lucas, BCS, Mexico",,,Avenida Sierra de San Luis,,,,,BCS,Cabo San Lucas,Los Cabos,Baja California Sur,Mexico,mx,0.4444444444444444,0.4444444444444444,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2141,Tarsus,Turkey,36.9164834,34.895149,"Tarsus, Mediterranean Region, Turkey",,,,,,,,,Tarsus,Mersin,Mediterranean Region,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2142,Jaysingpur,India,16.7789886,74.5564244,"Jaysingpur - 416101, MH, India",Jaysingpur,,,,416101,,,MH,Jaysingpur,Shirol,Maharashtra,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2143,Şlrnak,Turkey,39.339547,34.51052,Turkey,Turkey,,,,,,,,,,,Turkey,tr,0.25,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2144,Vigo,Spain,42.1964491,-8.7117809,"Vigo, GA, Spain",,,,,,,,GA,Vigo,Vigo,Galicia,Spain,es,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2145,Bilthoven,Netherlands,52.1289693,5.2046134,"Bilthoven, UT, Netherlands",,,,,,,,UT,Bilthoven,,Utrecht,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2146,Kigali,Rwanda,-1.950851,30.061507,"Kigali, Kigali City, Rwanda",Kigali,,,,,,,,Kigali,Nyarugenge District,Kigali City,Rwanda,rw,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2147,Manhica,Mozambique,-23.1257876,34.6396673,"Manhiça (Manhiça), Inhambane Province, Mozambique",Manhiça,,,,,,,,Manhiça,Funhalouro,Inhambane Province,Mozambique,mz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2148,Chía,Colombia,4.8660334,-74.0306281,"Chía, CUN, Colombia",,,,,,,,CUN,Chía,Sabana Centro,Cundinamarca,Colombia,co,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2149,Tacuarembo,Uruguay,-31.7110183,-55.9788762,"45000 Tacuarembó, Uruguay",,,,,45000,,,TA,Tacuarembó,,Tacuarembó,Uruguay,uy,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2150,Mihintale,Sri Lanka,8.3583002,80.5121579,"Mihintale 50300, Sri Lanka",Mihintale,,,,50300,,,,Mihintale,Anuradhapura District,North Central Province,Sri Lanka,lk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2151,Banjul,Gambia,13.45535,-16.575646,"Banjul, The Gambia",,,,,,,,,Banjul,,,The Gambia,gm,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2152,Kadhava,India,21.541413650000003,76.9672381674201,"Kadhava, Dharni, MH, India",,,,,,,Kadhava,MH,Dharni,Amravati,Maharashtra,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2153,Popoyán,Colombia,10.6403,-75.00145,"Colombia, ATL",,,,,,,,ATL,Colombia,Sabanalarga,Atlántico,Colombia,co,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2154,Santa Cruz de la Sierra,Bolivia,-17.7834936,-63.1820853,"Santa Cruz de la Sierra, S, Bolivia",,,,,,,,S,Santa Cruz de la Sierra,Provincia Andrés Ibáñez,Santa Cruz,Bolivia,bo,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2155,Freetown,Sierra Leone,8.479004,-13.26795,"Freetown, Western Area Urban, Sierra Leone",Freetown,,,,,,,,Freetown,,Western Area Urban,Sierra Leone,sl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2156,Zeist,Netherlands,52.0892832,5.2276307,"Zeist, UT, Netherlands",,,,,,,,UT,Zeist,,Utrecht,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2157,Kisumu,Kenya,-0.1029109,34.7541761,"Kisumu, Kisumu County, Kenya",Kisumu,,,,,,,,Kisumu,,Kisumu County,Kenya,ke,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2158,Sibu,Malaysia,2.2906434,111.8256158,"96000 Sibu, Sarawak, Malaysia",Sibu,,,,96000,,,,Sibu,Sibu,Sarawak,Malaysia,my,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2159,As,Norway,59.67928085,10.774163640502413,"Ås, Norway",,,,,,,,,Ås,Akershus,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2160,Bahawalpur,Pakistan,26.8178421,67.7136927,"Bahawalpur (Bahawalpur), SD, Pakistan",Bahawalpur,,,,,,,SD,Bahawalpur,Dadu District,Sindh,Pakistan,pk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2161,Tapachula,Mexico,14.9042905,-92.2609265,"30830 Tapachula, CHP, Mexico",Tapachula,,,,30830,,,CHP,Tapachula,Tapachula,Chiapas,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2162,Ban Kluai,Thailand,17.0117924,99.7754085,"Ban Kluai, Sukhothai Province, Thailand",Ban Kluai,,,,,,,,Ban Kluai,,Sukhothai Province,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2163,Mukdahan,Thailand,16.5414065,104.7290699,"Mukdahan, Mukdahan Province 49000, Thailand",Mukdahan,,,,49000,,,,Mukdahan,,Mukdahan Province,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2164,Bela Vista,Brazil,-22.107327,-56.5317344,"Bela Vista, MS, Brazil",,,,,,,,MS,Bela Vista,Região Geográfica Intermediária de Corumbá,Mato Grosso do Sul,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2165,Getafe,Spain,40.3081807,-3.7302679,"Getafe, Madrid, Spain",,,,,,,,,Getafe,,Community of Madrid,Spain,es,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2166,Newport,United Kingdom,51.5882332,-2.9974967,"yes, Newport, WLS, United Kingdom",,,,,,,yes,WLS,Newport,,Wales,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2167,Madang,Papua New Guinea,-5.212038,145.8054231,"Madang, MPM, Papua New Guinea",Madang,,,,,,,MPM,Madang,,Madang,Papua New Guinea,pg,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2168,Abercynon,United Kingdom,51.6448956,-3.3283645,"Abercynon, CF45 4RE, United Kingdom",Abercynon,,,,CF45 4RE,RCT,,WLS,Abercynon,Rhondda Cynon Taf,Wales,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2169,Blackburn,United Kingdom,53.749326,-2.4840566,"Blackburn, BB1 7DP, United Kingdom",Blackburn,,,,BB1 7DP,BBD,,ENG,Blackburn,Blackburn with Darwen,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2170,Maidstone,United Kingdom,51.2748258,0.5231646,"Maidstone, ENG, United Kingdom",,,,,,KEN,,ENG,Maidstone,Kent,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2171,Samutprakarn,Thailand,13.5390822,100.63691620282354,"Bangpoo Samutprakarn Cogen Power Plant, Bang Pu Subdistrict Municipality, Samut Prakan Province, Thailand",Bangpoo Samutprakarn Cogen Power Plant,,,Bangpoo Samutprakarn Cogen Power Plant,,,Bang Pu Mai Subdistrict,,Bang Pu Subdistrict Municipality,Mueang Samut Prakan District,Samut Prakan Province,Thailand,th,0.6561000000000001,0.6561000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2172,Tien Giang,Viet Nam,18.33814,105.90892,"Tien Giang, Ha Tinh, Vietnam",,,,,,,,,Tien Giang,Ha Tinh,Ha Tinh,Vietnam,vn,1,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2173,Attard,Malta,35.8909172,14.4430093,"Attard, Central Region, Malta",,,,,,,,,Attard,,Central Region,Malta,mt,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2174,Pilani,India,28.3622661,75.6042342,"Pilani - 333031, RJ, India",Pilani,,,,333031,,,RJ,Pilani,Surajgarh Tehsil,Rajasthan,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2175,Dorset,United Kingdom,52.5898409,-1.8987691123858987,"Dorset, Bourne Vale Vale Avenue, Walsall, WS9 0SJ, United Kingdom",Dorset,Bourne Vale,Vale Avenue,,WS9 0SJ,,,ENG,Walsall,West Midlands Combined Authority,England,United Kingdom,gb,0.3333333333333333,0.3333333333333333,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2176,Annaba,Algeria,36.8982165,7.7549272,"23000 Annaba, Algeria",,,,,23000,,,,Annaba,Annaba District,Annaba,Algeria,dz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2177,Vaxjo,Sweden,56.8787183,14.8094385,"351 04 Växjö, Sweden",Växjö,,,,351 04,,,,Växjö,Kronoberg County,,Sweden,se,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2178,Windhoek,Namibia,-22.5776104,17.0772739,"Windhoek, KH, Namibia",,,,,,,,KH,Windhoek,,Khomas,Namibia,na,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2179,Monterrey,Mexico,25.6802019,-100.315258,"64010 Monterrey, NLE, Mexico",Monterrey,,,,64010,,,NLE,Monterrey,Monterrey,Nuevo León,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2180,Meudon,France,48.8126688,2.2385432,"Meudon, IDF, France",,,,,,,,IDF,Meudon,Hauts-de-Seine,Ile-de-France,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2181,Oberkochen,Germany,48.7855073,10.1106691,"73447 Oberkochen, Germany",,,,,73447,,,BW,Oberkochen,Ostalbkreis,Baden-Württemberg,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2182,Frankfurt a.M,Germany,50.1106444,8.6820917,"Frankfurt, Hesse, Germany",,,,,,,,,Frankfurt,,Hesse,Germany,de,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2183,Beltsville,United States,39.0299081,-76.9149547,"Beltsville, MD 20705, United States of America",Beltsville,,,,20705,,,MD,Beltsville,Prince George's County,Maryland,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2184,Presov-Lubotice,Slovakia,49.017251,21.270716,"Ľubotice, Presov, Slovakia",,,,,,,,,Ľubotice,Prešov,Presov,Slovakia,sk,0.63,0.63,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2185,Indiana,United States,40.622825,-79.1533097,"Indiana, PA, United States of America",,,,,,,,PA,Indiana,Indiana County,Pennsylvania,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2186,Osijek,Croatia,45.5548793,18.6953685,"Osijek, Croatia",,,,,,,,,Osijek,Osijek-Baranja County,,Croatia,hr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2187,Ashland City,United States,36.2742207,-87.0641699,"Ashland City, TN 37015, United States of America",,,,,37015,,,TN,Ashland City,Cheatham County,Tennessee,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2188,Pamplona,Spain,42.8181992,-1.6440089,"Pamplona, Navarre, Spain",,,,,,,,,Pamplona,Metropolialdea / Área Metropolitana,Navarre,Spain,es,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2189,Mugla,Turkey,37.2151202,28.3636912,"Menteşe (Muğla), Aegean Region, Turkey",Muğla,,,,,,,,Muğla,Muğla,Aegean Region,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2190,Akungba-Akoko,Nigeria,7.4696003,5.7361985,"Akungba (Akungba), Ondo State, Nigeria",Akungba,,,,,,,,Akungba,Akoko South West,Ondo State,Nigeria,ng,0.5,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2191,Krems an der Donau,Austria,48.4108382,15.6003717,"Krems an der Donau, Lower Austria, Austria",,,,,,,,,Krems an der Donau,,Lower Austria,Austria,at,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2192,Mandaluyong,Philippines,14.5774392,121.0338973,"Mandaluyong, Metro Manila, Philippines",,,,,,,,,Mandaluyong,Eastern Manila District,Metro Manila,Philippines,ph,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2193,Mannheim,Germany,49.4892913,8.4673098,"Mannheim, BW, Germany",,,,,,,,BW,Mannheim,,Baden-Württemberg,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2194,Tena,Ecuador,-0.9916185,-77.8163379,"Tena, N, Ecuador",,,,,,,,N,Tena,Tena,Napo,Ecuador,ec,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2195,Abakaliki,Nigeria,6.3208897,8.1133202,"Abakaliki, Ebonyi State, Nigeria",,,,,,,,,Abakaliki,,Ebonyi State,Nigeria,ng,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2196,Abbotsford,Canada,49.0521162,-122.329479,"Abbotsford, BC, Canada",,,,,,,,BC,Abbotsford,Fraser Valley Regional District,British Columbia,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2197,Jiaosi,Taiwan,24.833577,121.787484,"Jiaosi, Taiwan",,,,,,,,,Jiaosi,Yilan,Taiwan,Taiwan,tw,1,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2198,Hawthorn,Australia,-37.8244246,145.0317207,"Hawthorn, Melbourne, VIC, Australia",,,,Hawthorn,3122,,,VIC,Melbourne,,Victoria,Australia,au,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2199,Kent,United States,47.3826903,-122.2270272,"Kent, WA, United States of America",,,,,,,,WA,Kent,King County,Washington,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2200,Menomonie,United States,44.8753941,-91.9200286,"Menomonie, WI 54751, United States of America",,,,,54751,,,WI,Menomonie,Dunn County,Wisconsin,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2201,Afyonkarahisar,Turkey,38.7568597,30.5387044,"Afyonkarahisar, Aegean Region, Turkey",,,,,,,,,Afyonkarahisar,Afyonkarahisar,Aegean Region,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2202,Witten,Germany,51.4370171,7.335124,"Witten, North Rhine-Westphalia, Germany",,,,,,,,,Witten,Ennepe-Ruhr-Kreis,North Rhine-Westphalia,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2203,Arcata,United States,40.866517,-124.08284,"Arcata, CA 95521, United States of America",,,,,95521,,,CA,Arcata,Humboldt County,California,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2204,Sibiu,Romania,45.7973912,24.1519202,"Sibiu, Romania",,,,,,,,,Sibiu,Sibiu,,Romania,ro,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2205,Winterthur,Switzerland,47.4991723,8.7291498,"Winterthur, Zurich, Switzerland",,,,,,,,,Winterthur,Bezirk Winterthur,Zurich,Switzerland,ch,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2206,Lafayette,United States,30.2262187,-92.0178202,"Lafayette, LA, United States of America",,,,,,,,LA,Lafayette,Lafayette Parish,Louisiana,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2207,Montclair,United States,40.8164458,-74.2210643,"Montclair, NJ, United States of America",,,,,,,,NJ,Montclair,Essex County,New Jersey,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2208,Galway,Ireland,53.2744122,-9.0490601,"Galway, C, Ireland",,,,,,G,,C,Galway,County Galway,Connacht,Ireland,ie,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2209,Bilbao,Spain,43.2630018,-2.9350039,"Bilbao, Basque Country, Spain",,,,,,,,,Bilbao,Biscay,Autonomous Community of the Basque Country,Spain,es,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2210,Sewanee,United States,35.2031373,-85.9210899,"Sewanee, TN 37383, United States of America",Sewanee,,,,37383,,,TN,Sewanee,Franklin County,Tennessee,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2211,Banska Bystrica,Slovakia,48.7383895,19.1585805,"Banská Bystrica, Slovakia",,,,,,,,,Banská Bystrica,District of Banská Bystrica,Region of Banská Bystrica,Slovakia,sk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2212,Opole,Poland,50.6668184,17.9236408,"Opole, Opole Voivodeship, Poland",,,,,,,,,Opole,,Opole Voivodeship,Poland,pl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2213,Punta Arenas,Chile,-53.1625688,-70.907822,"Punta Arenas, Region of Magallanes and Chilean Antarctica, Chile",,,,,,,,,Punta Arenas,Provincia de Magallanes,Region of Magallanes and Chilean Antarctica,Chile,cl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2214,River Forest,United States,41.8978091,-87.8139483,"River Forest, IL 60305, United States of America",,,,,60305,,,IL,River Forest,Cook County,Illinois,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2215,Hildesheim,Germany,52.1521636,9.9513046,"Hildesheim, Lower Saxony, Germany",,,,,,,,,Hildesheim,Landkreis Hildesheim,Lower Saxony,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2216,Cuiaba,Brazil,-15.5986686,-56.0991301,"Cuiabá, MT, Brazil",,,,,,,,MT,Cuiabá,Região Geográfica Intermediária de Cuiabá,Mato Grosso,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2217,Kathmandu,India,15.6715311,73.7147254,"Kathmandu, MDR18, Arambol, Mandrem - 403524, GA, India",Kathmandu,,MDR18,Arambol,403524,,Junaswada,GA,Mandrem,Pernem,Goa,India,in,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2218,Bata Caves,Malaysia,3.0869857,101.64825,"Bata, PJ Old Town, 46700 Petaling Jaya, Selangor, Malaysia",Bata,,,PJ Old Town,46700,,Petaling,,Petaling Jaya,Petaling,Selangor,Malaysia,my,0.5,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2219,Heverlee,Belgium,50.8645908,4.6937736,"3001 Heverlee (Leuven), Belgium",,,,,3001,,,,Leuven,Leuven,Flemish Brabant,Belgium,be,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2220,Ananindeua,Brazil,-1.374035,-48.4016623,"Ananindeua, PA, Brazil",,,,,,,,PA,Ananindeua,Região Geográfica Intermediária de Belém,Pará,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2221,Prachin Buri,Thailand,14.0541467,101.3724276,"Prachin Buri, Prachin Buri Province 25000, Thailand",Prachin Buri,,,,25000,,,,Prachin Buri,,Prachin Buri Province,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
